chunking,retrieval,reranker,context_recall,context_precision,faithfulness,question,ground_truth,answer,context
semantic,similarity,True,0.0,0.0,0.0,What is the Restore Benefit?,"Restore Benefit automatically restores 100%% of the base cover if any partial or full claim is made during the policy year, at no additional cost.",I don't know.,[]
semantic,similarity,True,0.0,0.0,0.0,How many network hospitals are available under this policy?,"The policy provides access to 16,000+ network hospitals and healthcare service providers.",I don't know.,[]
semantic,similarity,True,,0.9999999999,0.6,Can the policy be renewed for life?,"The brochure pages provided do not explicitly mention lifelong renewability. Therefore, this information cannot be confirmed from the brochure alone.","Yes, the policy offers life-long renewal regardless of the insured person's health status or previous claims, except in cases of fraud or misrepresentation.","['Terms of renewal\nLife-long renewal - Get access to life-long renewal regardless of your health status or \nprevious claims made under your policy, except on grounds of fraud or \nmisrepresentation by the insured person. Waiting period - The waiting periods mentioned in the policy wording will get reduced \nby 1 year on every continuous renewal of your policy. Renewal premium - These are subject to change with prior approval from IRDAI. Any \nchange in beneﬁts or premium (other than due to change in age) will be done with the \napproval of the Insurance Regulatory and Development Authority and will be intimated \nat least 3 months in advance. Withdrawal of policy - In the likelihood of this policy being withdrawn in future, \nintimation will be sent to insured person about the same 3 months prior to expiry of the \npolicy. Insured person will have the option to migrate to similar indemnity health \ninsurance policy available at the time of renewal with all the accrued continuity beneﬁts, \nwaiver of waiting period etc; provided the policy has been maintained without a break \nas per portability/migration guidelines issued by IRDAI.', 'Mr. Sharma also has the super power to waive his opted deductible at \nrenewal post completion of 5 years under this policy~~\nEasy Switch', 'So Much Coverage\nSo Much Choice\nSo Much Trust\nSo Much More... A policy like no other. Introduction']"
semantic,similarity,True,1.0,0.9999999999,1.0,What is the Restore Benefit?,"Restore Benefit automatically restores 100%% of the base cover if any partial or full claim is made during the policy year, at no additional cost.","The Restore Benefit of Optima Secure automatically restores 100% of the base cover in the policy cover at no additional cost if any claim, whether partial or total, is made at any time during the year.","['Get So Much Coverage*\nGuaranteed^^ \nWith the Restore Beneﬁt of Optima Secure, if any \nclaim, partial or total, is made any time during the \nyear, then 100% of the base cover gets restored in \nthe policy cover automatically, \nat no additional cost! 100% restore coverage\nRestore Beneﬁt', '2X coverage from day 1\n2X\nSecure Beneﬁt', '3. 4. Let’s see how Optima Secure works']"
semantic,similarity,True,0.0,0.0,0.0,How many network hospitals are available under this policy?,"The policy provides access to 16,000+ network hospitals and healthcare service providers.",I don't know.,"['Schedule of beneﬁts (all limits are \nin INR)\n100% of Base Sum Insured\nUp to Sum Insured\nIrrespective of claim status, increase of 50% of \nBase Sum Insured in a policy year, maximum up to 100%\nUp to 100% of Base Sum Insured for any illness \nany insured person\nRoad: Up to Sum Insured        Air: Up to 500,000\n800 per day (max up to 4,800)\nOnce per insured person (for 51 deﬁned major illnesses)\n5/10/15/20/25/50/100/200\nAt Actuals\nUp to Sum Insured\nOptima Secure\nSecure Beneﬁt\nProtect Beneﬁt\nPlus Beneﬁt\nRestore Beneﬁt\nEmergency Ambulance\nDaily Cash for Choosing \nShared Accommodation\nE-Opinion for Critical Illness \nBase Sum Insured (in Lakhs)\nRoom Rent\nHospitalisation Expenses\nAYUSH Treatment\nHome Healthcare\nOrgan Donor Expenses\nPre-Hospitalisation (60 days)\nPost-Hospitalisation (180 days)\nPlan Name', 'So Much Coverage\nSo Much Choice\nSo Much Trust\nSo Much More... A policy like no other. Introduction', '2X coverage from day 1\n2X\nSecure Beneﬁt']"
semantic,similarity,True,0.7241379310344828,0.9999999999,0.6,Can the policy be renewed for life?,"The brochure pages provided do not explicitly mention lifelong renewability. Therefore, this information cannot be confirmed from the brochure alone.","Yes, the policy offers life-long renewal regardless of the insured person's health status or previous claims, except in cases of fraud or misrepresentation.","['Terms of renewal\nLife-long renewal - Get access to life-long renewal regardless of your health status or \nprevious claims made under your policy, except on grounds of fraud or \nmisrepresentation by the insured person. Waiting period - The waiting periods mentioned in the policy wording will get reduced \nby 1 year on every continuous renewal of your policy. Renewal premium - These are subject to change with prior approval from IRDAI. Any \nchange in beneﬁts or premium (other than due to change in age) will be done with the \napproval of the Insurance Regulatory and Development Authority and will be intimated \nat least 3 months in advance. Withdrawal of policy - In the likelihood of this policy being withdrawn in future, \nintimation will be sent to insured person about the same 3 months prior to expiry of the \npolicy. Insured person will have the option to migrate to similar indemnity health \ninsurance policy available at the time of renewal with all the accrued continuity beneﬁts, \nwaiver of waiting period etc; provided the policy has been maintained without a break \nas per portability/migration guidelines issued by IRDAI.', 'Mr. Sharma also has the super power to waive his opted deductible at \nrenewal post completion of 5 years under this policy~~\nEasy Switch', 'So Much Coverage\nSo Much Choice\nSo Much Trust\nSo Much More... A policy like no other. Introduction']"
semantic,similarity,True,1.0,0.9999999999,1.0,What is the Restore Benefit?,"Restore Benefit automatically restores 100%% of the base cover if any partial or full claim is made during the policy year, at no additional cost.","The Restore Benefit of Optima Secure automatically restores 100% of the base cover in the policy cover at no additional cost if any claim, whether partial or total, is made at any time during the year.","['Get So Much Coverage*\nGuaranteed^^ \nWith the Restore Beneﬁt of Optima Secure, if any \nclaim, partial or total, is made any time during the \nyear, then 100% of the base cover gets restored in \nthe policy cover automatically, \nat no additional cost! 100% restore coverage\nRestore Beneﬁt', '2X coverage from day 1\n2X\nSecure Beneﬁt', '3. 4. Let’s see how Optima Secure works']"
semantic,similarity,True,0.0,0.0,0.0,How many network hospitals are available under this policy?,"The policy provides access to 16,000+ network hospitals and healthcare service providers.",I don't know.,"['Schedule of beneﬁts (all limits are \nin INR)\n100% of Base Sum Insured\nUp to Sum Insured\nIrrespective of claim status, increase of 50% of \nBase Sum Insured in a policy year, maximum up to 100%\nUp to 100% of Base Sum Insured for any illness \nany insured person\nRoad: Up to Sum Insured        Air: Up to 500,000\n800 per day (max up to 4,800)\nOnce per insured person (for 51 deﬁned major illnesses)\n5/10/15/20/25/50/100/200\nAt Actuals\nUp to Sum Insured\nOptima Secure\nSecure Beneﬁt\nProtect Beneﬁt\nPlus Beneﬁt\nRestore Beneﬁt\nEmergency Ambulance\nDaily Cash for Choosing \nShared Accommodation\nE-Opinion for Critical Illness \nBase Sum Insured (in Lakhs)\nRoom Rent\nHospitalisation Expenses\nAYUSH Treatment\nHome Healthcare\nOrgan Donor Expenses\nPre-Hospitalisation (60 days)\nPost-Hospitalisation (180 days)\nPlan Name', 'So Much Coverage\nSo Much Choice\nSo Much Trust\nSo Much More... A policy like no other. Introduction', '2X coverage from day 1\n2X\nSecure Beneﬁt']"
semantic,similarity,True,,0.9999999999,1.0,Can the policy be renewed for life?,"The brochure pages provided do not explicitly mention lifelong renewability. Therefore, this information cannot be confirmed from the brochure alone.","Yes, the policy provides life-long renewal regardless of the insured person's health status or previous claims, except on grounds of fraud or misrepresentation.","['Terms of renewal\nLife-long renewal - Get access to life-long renewal regardless of your health status or \nprevious claims made under your policy, except on grounds of fraud or \nmisrepresentation by the insured person. Waiting period - The waiting periods mentioned in the policy wording will get reduced \nby 1 year on every continuous renewal of your policy. Renewal premium - These are subject to change with prior approval from IRDAI. Any \nchange in beneﬁts or premium (other than due to change in age) will be done with the \napproval of the Insurance Regulatory and Development Authority and will be intimated \nat least 3 months in advance. Withdrawal of policy - In the likelihood of this policy being withdrawn in future, \nintimation will be sent to insured person about the same 3 months prior to expiry of the \npolicy. Insured person will have the option to migrate to similar indemnity health \ninsurance policy available at the time of renewal with all the accrued continuity beneﬁts, \nwaiver of waiting period etc; provided the policy has been maintained without a break \nas per portability/migration guidelines issued by IRDAI.', 'Mr. Sharma also has the super power to waive his opted deductible at \nrenewal post completion of 5 years under this policy~~\nEasy Switch', 'So Much Coverage\nSo Much Choice\nSo Much Trust\nSo Much More... A policy like no other. Introduction']"
semantic,similarity,True,1.0,0.9999999999,1.0,What is the Restore Benefit?,"Restore Benefit automatically restores 100%% of the base cover if any partial or full claim is made during the policy year, at no additional cost.","The Restore Benefit of Optima Secure automatically restores 100% of the base cover in the policy cover at no additional cost if any claim, whether partial or total, is made at any time during the year.","['Get So Much Coverage*\nGuaranteed^^ \nWith the Restore Beneﬁt of Optima Secure, if any \nclaim, partial or total, is made any time during the \nyear, then 100% of the base cover gets restored in \nthe policy cover automatically, \nat no additional cost! 100% restore coverage\nRestore Beneﬁt', '2X coverage from day 1\n2X\nSecure Beneﬁt', '3. 4. Let’s see how Optima Secure works']"
semantic,similarity,True,0.0,0.0,0.0,How many network hospitals are available under this policy?,"The policy provides access to 16,000+ network hospitals and healthcare service providers.",I don't know.,"['Schedule of beneﬁts (all limits are \nin INR)\n100% of Base Sum Insured\nUp to Sum Insured\nIrrespective of claim status, increase of 50% of \nBase Sum Insured in a policy year, maximum up to 100%\nUp to 100% of Base Sum Insured for any illness \nany insured person\nRoad: Up to Sum Insured        Air: Up to 500,000\n800 per day (max up to 4,800)\nOnce per insured person (for 51 deﬁned major illnesses)\n5/10/15/20/25/50/100/200\nAt Actuals\nUp to Sum Insured\nOptima Secure\nSecure Beneﬁt\nProtect Beneﬁt\nPlus Beneﬁt\nRestore Beneﬁt\nEmergency Ambulance\nDaily Cash for Choosing \nShared Accommodation\nE-Opinion for Critical Illness \nBase Sum Insured (in Lakhs)\nRoom Rent\nHospitalisation Expenses\nAYUSH Treatment\nHome Healthcare\nOrgan Donor Expenses\nPre-Hospitalisation (60 days)\nPost-Hospitalisation (180 days)\nPlan Name', 'So Much Coverage\nSo Much Choice\nSo Much Trust\nSo Much More... A policy like no other. Introduction', '2X coverage from day 1\n2X\nSecure Beneﬁt']"
semantic,similarity,True,0.0,0.5833333333041666,1.0,Can the policy be renewed for life?,"The brochure pages provided do not explicitly mention lifelong renewability. Therefore, this information cannot be confirmed from the brochure alone.","According to the context, yes, the policy can be renewed for life. It is mentioned as ""Life-long renewal"" under the ""Terms of renewal"" section. This means that the policy can be renewed regardless of the insured person's health status or previous claims, except in cases of fraud or misrepresentation.","['Terms of renewal\nLife-long renewal - Get access to life-long renewal regardless of your health status or \nprevious claims made under your policy, except on grounds of fraud or \nmisrepresentation by the insured person. Waiting period - The waiting periods mentioned in the policy wording will get reduced \nby 1 year on every continuous renewal of your policy. Renewal premium - These are subject to change with prior approval from IRDAI. Any \nchange in beneﬁts or premium (other than due to change in age) will be done with the \napproval of the Insurance Regulatory and Development Authority and will be intimated \nat least 3 months in advance. Withdrawal of policy - In the likelihood of this policy being withdrawn in future, \nintimation will be sent to insured person about the same 3 months prior to expiry of the \npolicy. Insured person will have the option to migrate to similar indemnity health \ninsurance policy available at the time of renewal with all the accrued continuity beneﬁts, \nwaiver of waiting period etc; provided the policy has been maintained without a break \nas per portability/migration guidelines issued by IRDAI.', 'Mr. Sharma also has the super power to waive his opted deductible at \nrenewal post completion of 5 years under this policy~~\nEasy Switch', 'So Much Coverage\nSo Much Choice\nSo Much Trust\nSo Much More... A policy like no other. Introduction']"
semantic,similarity,True,1.0,0.9999999999,1.0,What is the Restore Benefit?,"Restore Benefit automatically restores 100%% of the base cover if any partial or full claim is made during the policy year, at no additional cost.","The Restore Benefit is a feature of Optima Secure that restores 100% of the base cover automatically at no additional cost if any claim, partial or total, is made during the year.","['Get So Much Coverage*\nGuaranteed^^ \nWith the Restore Beneﬁt of Optima Secure, if any \nclaim, partial or total, is made any time during the \nyear, then 100% of the base cover gets restored in \nthe policy cover automatically, \nat no additional cost! 100% restore coverage\nRestore Beneﬁt', '2X coverage from day 1\n2X\nSecure Beneﬁt', '3. 4. Let’s see how Optima Secure works']"
semantic,similarity,True,0.0,0.0,0.5,How many network hospitals are available under this policy?,"The policy provides access to 16,000+ network hospitals and healthcare service providers.",I don't know. The information provided does not mention the number of network hospitals available under this policy.,"['Schedule of beneﬁts (all limits are \nin INR)\n100% of Base Sum Insured\nUp to Sum Insured\nIrrespective of claim status, increase of 50% of \nBase Sum Insured in a policy year, maximum up to 100%\nUp to 100% of Base Sum Insured for any illness \nany insured person\nRoad: Up to Sum Insured        Air: Up to 500,000\n800 per day (max up to 4,800)\nOnce per insured person (for 51 deﬁned major illnesses)\n5/10/15/20/25/50/100/200\nAt Actuals\nUp to Sum Insured\nOptima Secure\nSecure Beneﬁt\nProtect Beneﬁt\nPlus Beneﬁt\nRestore Beneﬁt\nEmergency Ambulance\nDaily Cash for Choosing \nShared Accommodation\nE-Opinion for Critical Illness \nBase Sum Insured (in Lakhs)\nRoom Rent\nHospitalisation Expenses\nAYUSH Treatment\nHome Healthcare\nOrgan Donor Expenses\nPre-Hospitalisation (60 days)\nPost-Hospitalisation (180 days)\nPlan Name', 'So Much Coverage\nSo Much Choice\nSo Much Trust\nSo Much More... A policy like no other. Introduction', '2X coverage from day 1\n2X\nSecure Beneﬁt']"
